invoice_date,external_invoice_number,branch_code,invoice_type,channel,payment_method,line_number,sku,product_name,category,quantity,unit_price,discount_rate,net_sales,vat_rate,tax_amount,total_amount,currency
2025-01-01,3SC-RYD2-20250101-00012,3SC-RYD2,sale,in_store,card,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.1,16.2,0.15,2.43,18.63,SAR
2025-01-01,3SC-RYD2-20250101-00012,3SC-RYD2,sale,in_store,card,2,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.1,11.7,0.15,1.75,13.45,SAR
2025-01-01,3SC-RYD2-20250101-00012,3SC-RYD2,sale,in_store,card,3,ESP-SGL,Single Espresso,Espresso,1,21.67,0.1,19.5,0.15,2.92,22.42,SAR
2025-01-01,3SC-RYD2-20250101-00013,3SC-RYD2,sale,in_store,cash,1,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.1,11.7,0.15,1.75,13.45,SAR
2025-01-01,3SC-RYD2-20250101-00013,3SC-RYD2,sale,in_store,cash,2,ESP-SGL,Single Espresso,Espresso,1,21.67,0.0,21.67,0.15,3.25,24.92,SAR
2025-01-01,3SC-RYD2-20250101-00014,3SC-RYD2,sale,take_away,card,1,ESP-DBL,Double Espresso,Espresso,1,24.5,0.05,23.27,0.15,3.49,26.76,SAR
2025-01-01,3SC-RYD2-20250101-00014,3SC-RYD2,sale,take_away,card,2,DRP-REG,Drip Coffee,Brewed,1,18.0,0.0,18.0,0.15,2.7,20.7,SAR
2025-01-01,3SC-RYD2-20250101-00015,3SC-RYD2,sale,take_away,card,1,PST-CRS,Butter Croissant,Pastries,1,12.0,0.05,11.4,0.15,1.71,13.11,SAR
2025-01-01,3SC-RYD2-20250101-00015,3SC-RYD2,sale,take_away,card,2,CLD-BRW,Cold Brew,Brewed,2,24.0,0.05,45.6,0.15,6.84,52.44,SAR
2025-01-01,3SC-RYD2-20250101-00015,3SC-RYD2,sale,take_away,card,3,LAT-LRG,Latte (Large),Espresso,1,26.5,0.05,25.17,0.15,3.78,28.95,SAR
2025-01-01,3SC-RYD2-20250101-00016,3SC-RYD2,sale,take_away,card,1,LAT-LRG,Latte (Large),Espresso,2,26.5,0.1,47.7,0.15,7.16,54.86,SAR
2025-01-01,3SC-RYD2-20250101-00016,3SC-RYD2,sale,take_away,card,2,PST-CRS,Butter Croissant,Pastries,1,12.0,0.0,12.0,0.15,1.8,13.8,SAR
2025-01-01,3SC-RYD2-20250101-00016,3SC-RYD2,sale,take_away,card,3,CLD-BRW,Cold Brew,Brewed,2,24.0,0.0,48.0,0.15,7.2,55.2,SAR
2025-01-01,3SC-RYD2-20250101-00017,3SC-RYD2,sale,delivery,cash,1,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.0,13.0,0.15,1.95,14.95,SAR
2025-01-01,3SC-RYD2-20250101-00017,3SC-RYD2,sale,delivery,cash,2,LAT-LRG,Latte (Large),Espresso,1,26.5,0.0,26.5,0.15,3.97,30.47,SAR
2025-01-01,3SC-RYD2-20250101-00017,3SC-RYD2,sale,delivery,cash,3,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-01,3SC-RYD2-20250101-00018,3SC-RYD2,sale,take_away,cash,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.05,17.1,0.15,2.56,19.66,SAR
2025-01-01,3SC-RYD2-20250101-00019,3SC-RYD2,sale,take_away,card,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.1,16.2,0.15,2.43,18.63,SAR
2025-01-01,3SC-RYD2-20250101-00020,3SC-RYD2,sale,in_store,card,1,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-01,3SC-RYD2-20250101-00021,3SC-RYD2,sale,delivery,card,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.05,17.1,0.15,2.56,19.66,SAR
2025-01-02,3SC-RYD-20250102-00022,3SC-RYD,sale,take_away,card,1,PST-MFN,Blueberry Muffin,Pastries,2,13.0,0.0,26.0,0.15,3.9,29.9,SAR
2025-01-02,3SC-RYD-20250102-00022,3SC-RYD,sale,take_away,card,2,DRP-REG,Drip Coffee,Brewed,1,18.0,0.1,16.2,0.15,2.43,18.63,SAR
2025-01-02,3SC-RYD-20250102-00023,3SC-RYD,sale,delivery,cash,1,LAT-LRG,Latte (Large),Espresso,1,26.5,0.1,23.85,0.15,3.58,27.43,SAR
2025-01-02,3SC-RYD-20250102-00024,3SC-RYD,sale,delivery,card,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.1,19.5,0.15,2.92,22.42,SAR
2025-01-02,3SC-RYD-20250102-00024,3SC-RYD,sale,delivery,card,2,LAT-LRG,Latte (Large),Espresso,1,26.5,0.05,25.17,0.15,3.78,28.95,SAR
2025-01-02,3SC-RYD-20250102-00024,3SC-RYD,sale,delivery,card,3,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.1,22.5,0.15,3.38,25.88,SAR
2025-01-02,3SC-RYD-20250102-00025,3SC-RYD,sale,delivery,card,1,PST-CRS,Butter Croissant,Pastries,1,12.0,0.1,10.8,0.15,1.62,12.42,SAR
2025-01-02,3SC-RYD-20250102-00026,3SC-RYD,sale,delivery,cash,1,PST-CRS,Butter Croissant,Pastries,1,12.0,0.0,12.0,0.15,1.8,13.8,SAR
2025-01-02,3SC-RYD-20250102-00027,3SC-RYD,sale,delivery,card,1,DRP-REG,Drip Coffee,Brewed,2,18.0,0.0,36.0,0.15,5.4,41.4,SAR
2025-01-02,3SC-RYD-20250102-00027,3SC-RYD,sale,delivery,card,2,ESP-SGL,Single Espresso,Espresso,2,21.67,0.05,41.17,0.15,6.18,47.35,SAR
2025-01-02,3SC-RYD-20250102-00028,3SC-RYD,sale,in_store,cash,1,DRP-REG,Drip Coffee,Brewed,2,18.0,0.05,34.2,0.15,5.13,39.33,SAR
2025-01-02,3SC-RYD-20250102-00028,3SC-RYD,sale,in_store,cash,2,ESP-DBL,Double Espresso,Espresso,2,24.5,0.05,46.55,0.15,6.98,53.53,SAR
2025-01-02,3SC-RYD-20250102-00028,3SC-RYD,sale,in_store,cash,3,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.1,11.7,0.15,1.75,13.45,SAR
2025-01-02,3SC-RYD-20250102-00029,3SC-RYD,sale,take_away,cash,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.0,21.67,0.15,3.25,24.92,SAR
2025-01-02,3SC-RYD-20250102-00029,3SC-RYD,sale,take_away,cash,2,ESP-DBL,Double Espresso,Espresso,2,24.5,0.1,44.1,0.15,6.62,50.72,SAR
2025-01-02,3SC-RYD-20250102-00030,3SC-RYD,sale,take_away,card,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.05,20.59,0.15,3.09,23.68,SAR
2025-01-02,3SC-RYD-20250102-00030,3SC-RYD,sale,take_away,card,2,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-02,3SC-RYD-20250102-00031,3SC-RYD,sale,take_away,card,1,CLD-BRW,Cold Brew,Brewed,1,24.0,0.05,22.8,0.15,3.42,26.22,SAR
2025-01-02,3SC-RYD-20250102-00031,3SC-RYD,sale,take_away,card,2,DRP-REG,Drip Coffee,Brewed,2,18.0,0.0,36.0,0.15,5.4,41.4,SAR
2025-01-02,3SC-RYD2-20250102-00032,3SC-RYD2,sale,delivery,cash,1,PST-CRS,Butter Croissant,Pastries,1,12.0,0.1,10.8,0.15,1.62,12.42,SAR
2025-01-02,3SC-RYD2-20250102-00033,3SC-RYD2,sale,in_store,card,1,LAT-LRG,Latte (Large),Espresso,1,26.5,0.05,25.17,0.15,3.78,28.95,SAR
2025-01-02,3SC-RYD2-20250102-00033,3SC-RYD2,sale,in_store,card,2,ESP-DBL,Double Espresso,Espresso,1,24.5,0.0,24.5,0.15,3.67,28.17,SAR
2025-01-02,3SC-RYD2-20250102-00034,3SC-RYD2,sale,delivery,cash,1,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-02,3SC-RYD2-20250102-00034,3SC-RYD2,sale,delivery,cash,2,LAT-LRG,Latte (Large),Espresso,2,26.5,0.05,50.35,0.15,7.55,57.9,SAR
2025-01-02,3SC-RYD2-20250102-00035,3SC-RYD2,sale,in_store,card,1,PST-CRS,Butter Croissant,Pastries,1,12.0,0.0,12.0,0.15,1.8,13.8,SAR
2025-01-02,3SC-RYD2-20250102-00035,3SC-RYD2,sale,in_store,card,2,CAP-LRG,Cappuccino (Large),Espresso,2,25.0,0.1,45.0,0.15,6.75,51.75,SAR
2025-01-02,3SC-RYD2-20250102-00035,3SC-RYD2,sale,in_store,card,3,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.0,13.0,0.15,1.95,14.95,SAR
2025-01-02,3SC-RYD2-20250102-00036,3SC-RYD2,sale,delivery,card,1,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-02,3SC-RYD2-20250102-00037,3SC-RYD2,sale,in_store,card,1,PST-CRS,Butter Croissant,Pastries,1,12.0,0.0,12.0,0.15,1.8,13.8,SAR
2025-01-02,3SC-RYD2-20250102-00038,3SC-RYD2,sale,delivery,cash,1,ESP-SGL,Single Espresso,Espresso,2,21.67,0.05,41.17,0.15,6.18,47.35,SAR
2025-01-02,3SC-RYD2-20250102-00038,3SC-RYD2,sale,delivery,cash,2,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.05,12.35,0.15,1.85,14.2,SAR
2025-01-02,3SC-RYD2-20250102-00038,3SC-RYD2,sale,delivery,cash,3,ESP-DBL,Double Espresso,Espresso,1,24.5,0.05,23.27,0.15,3.49,26.76,SAR
2025-01-02,3SC-RYD2-20250102-00039,3SC-RYD2,sale,take_away,cash,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.0,21.67,0.15,3.25,24.92,SAR
2025-01-02,3SC-RYD2-20250102-00040,3SC-RYD2,sale,delivery,card,1,CAP-LRG,Cappuccino (Large),Espresso,2,25.0,0.1,45.0,0.15,6.75,51.75,SAR
2025-01-02,3SC-RYD2-20250102-00040,3SC-RYD2,sale,delivery,card,2,CLD-BRW,Cold Brew,Brewed,1,24.0,0.1,21.6,0.15,3.24,24.84,SAR
2025-01-03,3SC-RYD-20250103-00041,3SC-RYD,sale,delivery,card,1,LAT-LRG,Latte (Large),Espresso,1,26.5,0.0,26.5,0.15,3.97,30.47,SAR
2025-01-03,3SC-RYD-20250103-00041,3SC-RYD,sale,delivery,card,2,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.1,22.5,0.15,3.38,25.88,SAR
2025-01-03,3SC-RYD-20250103-00042,3SC-RYD,sale,delivery,card,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.0,18.0,0.15,2.7,20.7,SAR
2025-01-03,3SC-RYD-20250103-00042,3SC-RYD,sale,delivery,card,2,LAT-LRG,Latte (Large),Espresso,2,26.5,0.0,53.0,0.15,7.95,60.95,SAR
2025-01-03,3SC-RYD-20250103-00043,3SC-RYD,sale,in_store,card,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.1,16.2,0.15,2.43,18.63,SAR
2025-01-03,3SC-RYD-20250103-00043,3SC-RYD,sale,in_store,card,2,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.1,11.7,0.15,1.75,13.45,SAR
2025-01-03,3SC-RYD-20250103-00043,3SC-RYD,sale,in_store,card,3,ESP-SGL,Single Espresso,Espresso,1,21.67,0.1,19.5,0.15,2.92,22.42,SAR
2025-01-03,3SC-RYD-20250103-00044,3SC-RYD,sale,in_store,card,1,ESP-DBL,Double Espresso,Espresso,1,24.5,0.0,24.5,0.15,3.67,28.17,SAR
2025-01-03,3SC-RYD-20250103-00045,3SC-RYD,sale,in_store,card,1,PST-MFN,Blueberry Muffin,Pastries,2,13.0,0.0,26.0,0.15,3.9,29.9,SAR
2025-01-03,3SC-RYD-20250103-00046,3SC-RYD,sale,take_away,cash,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.0,21.67,0.15,3.25,24.92,SAR
2025-01-03,3SC-RYD-20250103-00047,3SC-RYD,sale,delivery,card,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.1,19.5,0.15,2.92,22.42,SAR
2025-01-03,3SC-RYD-20250103-00048,3SC-RYD,sale,in_store,card,1,PST-CRS,Butter Croissant,Pastries,1,12.0,0.0,12.0,0.15,1.8,13.8,SAR
2025-01-03,3SC-RYD-20250103-00049,3SC-RYD,sale,in_store,card,1,DRP-REG,Drip Coffee,Brewed,2,18.0,0.05,34.2,0.15,5.13,39.33,SAR
2025-01-03,3SC-RYD-20250103-00049,3SC-RYD,sale,in_store,card,2,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.0,13.0,0.15,1.95,14.95,SAR
2025-01-03,3SC-RYD2-20250103-00050,3SC-RYD2,sale,take_away,card,1,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-03,3SC-RYD2-20250103-00051,3SC-RYD2,sale,in_store,card,1,CLD-BRW,Cold Brew,Brewed,1,24.0,0.05,22.8,0.15,3.42,26.22,SAR
2025-01-03,3SC-RYD2-20250103-00051,3SC-RYD2,sale,in_store,card,2,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.1,22.5,0.15,3.38,25.88,SAR
2025-01-03,3SC-RYD2-20250103-00051,3SC-RYD2,sale,in_store,card,3,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.05,12.35,0.15,1.85,14.2,SAR
2025-01-03,3SC-RYD2-20250103-00052,3SC-RYD2,sale,delivery,cash,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.05,20.59,0.15,3.09,23.68,SAR
2025-01-03,3SC-RYD2-20250103-00052,3SC-RYD2,sale,delivery,cash,2,PST-CRS,Butter Croissant,Pastries,1,12.0,0.1,10.8,0.15,1.62,12.42,SAR
2025-01-03,3SC-RYD2-20250103-00052,3SC-RYD2,sale,delivery,cash,3,LAT-LRG,Latte (Large),Espresso,1,26.5,0.05,25.17,0.15,3.78,28.95,SAR
2025-01-03,3SC-RYD2-20250103-00053,3SC-RYD2,sale,delivery,card,1,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-03,3SC-RYD2-20250103-00053,3SC-RYD2,sale,delivery,card,2,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.05,12.35,0.15,1.85,14.2,SAR
2025-01-03,3SC-RYD2-20250103-00053,3SC-RYD2,sale,delivery,card,3,DRP-REG,Drip Coffee,Brewed,2,18.0,0.1,32.4,0.15,4.86,37.26,SAR
2025-01-03,3SC-RYD2-20250103-00054,3SC-RYD2,sale,delivery,card,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.0,21.67,0.15,3.25,24.92,SAR
2025-01-03,3SC-RYD2-20250103-00054,3SC-RYD2,sale,delivery,card,2,LAT-LRG,Latte (Large),Espresso,1,26.5,0.05,25.17,0.15,3.78,28.95,SAR
2025-01-03,3SC-RYD2-20250103-00055,3SC-RYD2,sale,in_store,card,1,ESP-DBL,Double Espresso,Espresso,1,24.5,0.0,24.5,0.15,3.67,28.17,SAR
2025-01-03,3SC-RYD2-20250103-00056,3SC-RYD2,sale,in_store,cash,1,CLD-BRW,Cold Brew,Brewed,1,24.0,0.0,24.0,0.15,3.6,27.6,SAR
2025-01-03,3SC-RYD2-20250103-00057,3SC-RYD2,sale,delivery,cash,1,CLD-BRW,Cold Brew,Brewed,1,24.0,0.0,24.0,0.15,3.6,27.6,SAR
2025-01-04,3SC-RYD-20250104-00058,3SC-RYD,sale,delivery,cash,1,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-04,3SC-RYD-20250104-00058,3SC-RYD,sale,delivery,cash,2,ESP-SGL,Single Espresso,Espresso,1,21.67,0.1,19.5,0.15,2.92,22.42,SAR
2025-01-04,3SC-RYD-20250104-00059,3SC-RYD,sale,delivery,cash,1,LAT-LRG,Latte (Large),Espresso,2,26.5,0.0,53.0,0.15,7.95,60.95,SAR
2025-01-04,3SC-RYD-20250104-00059,3SC-RYD,sale,delivery,cash,2,PST-CRS,Butter Croissant,Pastries,2,12.0,0.0,24.0,0.15,3.6,27.6,SAR
2025-01-04,3SC-RYD-20250104-00059,3SC-RYD,sale,delivery,cash,3,ESP-DBL,Double Espresso,Espresso,1,24.5,0.0,24.5,0.15,3.67,28.17,SAR
2025-01-04,3SC-RYD-20250104-00060,3SC-RYD,sale,delivery,card,1,LAT-LRG,Latte (Large),Espresso,1,26.5,0.1,23.85,0.15,3.58,27.43,SAR
2025-01-04,3SC-RYD-20250104-00061,3SC-RYD,sale,in_store,cash,1,ESP-DBL,Double Espresso,Espresso,1,24.5,0.0,24.5,0.15,3.67,28.17,SAR
2025-01-04,3SC-RYD-20250104-00061,3SC-RYD,sale,in_store,cash,2,PST-CRS,Butter Croissant,Pastries,2,12.0,0.05,22.8,0.15,3.42,26.22,SAR
2025-01-04,3SC-RYD-20250104-00062,3SC-RYD,sale,take_away,card,1,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-04,3SC-RYD-20250104-00062,3SC-RYD,sale,take_away,card,2,LAT-LRG,Latte (Large),Espresso,1,26.5,0.05,25.17,0.15,3.78,28.95,SAR
2025-01-04,3SC-RYD-20250104-00062,3SC-RYD,sale,take_away,card,3,PST-CRS,Butter Croissant,Pastries,1,12.0,0.0,12.0,0.15,1.8,13.8,SAR
2025-01-04,3SC-RYD-20250104-00063,3SC-RYD,sale,delivery,card,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.0,21.67,0.15,3.25,24.92,SAR
2025-01-04,3SC-RYD-20250104-00063,3SC-RYD,sale,delivery,card,2,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.0,25.0,0.15,3.75,28.75,SAR
2025-01-04,3SC-RYD-20250104-00064,3SC-RYD,sale,take_away,card,1,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.1,11.7,0.15,1.75,13.45,SAR
2025-01-04,3SC-RYD-20250104-00065,3SC-RYD,sale,take_away,cash,1,DRP-REG,Drip Coffee,Brewed,1,18.0,0.1,16.2,0.15,2.43,18.63,SAR
2025-01-04,3SC-RYD-20250104-00065,3SC-RYD,sale,take_away,cash,2,ESP-SGL,Single Espresso,Espresso,1,21.67,0.05,20.59,0.15,3.09,23.68,SAR
2025-01-04,3SC-RYD-20250104-00065,3SC-RYD,sale,take_away,cash,3,ESP-DBL,Double Espresso,Espresso,1,24.5,0.0,24.5,0.15,3.67,28.17,SAR
2025-01-04,3SC-RYD-20250104-00066,3SC-RYD,sale,take_away,card,1,ESP-DBL,Double Espresso,Espresso,1,24.5,0.1,22.05,0.15,3.31,25.36,SAR
2025-01-04,3SC-RYD-20250104-00067,3SC-RYD,sale,take_away,cash,1,PST-CRS,Butter Croissant,Pastries,1,12.0,0.1,10.8,0.15,1.62,12.42,SAR
2025-01-04,3SC-RYD-20250104-00067,3SC-RYD,sale,take_away,cash,2,LAT-LRG,Latte (Large),Espresso,2,26.5,0.0,53.0,0.15,7.95,60.95,SAR
2025-01-04,3SC-RYD-20250104-00067,3SC-RYD,sale,take_away,cash,3,DRP-REG,Drip Coffee,Brewed,1,18.0,0.0,18.0,0.15,2.7,20.7,SAR
2025-01-04,3SC-RYD-20250104-00068,3SC-RYD,sale,in_store,card,1,LAT-LRG,Latte (Large),Espresso,1,26.5,0.05,25.17,0.15,3.78,28.95,SAR
2025-01-04,3SC-RYD-20250104-00068,3SC-RYD,sale,in_store,card,2,PST-CRS,Butter Croissant,Pastries,2,12.0,0.05,22.8,0.15,3.42,26.22,SAR
2025-01-04,3SC-RYD-20250104-00068,3SC-RYD,sale,in_store,card,3,DRP-REG,Drip Coffee,Brewed,1,18.0,0.1,16.2,0.15,2.43,18.63,SAR
2025-01-04,3SC-RYD-20250104-00069,3SC-RYD,sale,in_store,card,1,LAT-LRG,Latte (Large),Espresso,1,26.5,0.1,23.85,0.15,3.58,27.43,SAR
2025-01-04,3SC-RYD-20250104-00070,3SC-RYD,sale,take_away,card,1,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.1,11.7,0.15,1.75,13.45,SAR
2025-01-04,3SC-RYD-20250104-00070,3SC-RYD,sale,take_away,card,2,ESP-SGL,Single Espresso,Espresso,1,21.67,0.05,20.59,0.15,3.09,23.68,SAR
2025-01-04,3SC-RYD-20250104-00070,3SC-RYD,sale,take_away,card,3,LAT-LRG,Latte (Large),Espresso,1,26.5,0.0,26.5,0.15,3.97,30.47,SAR
2025-01-04,3SC-RYD2-20250104-00071,3SC-RYD2,sale,in_store,cash,1,ESP-DBL,Double Espresso,Espresso,2,24.5,0.05,46.55,0.15,6.98,53.53,SAR
2025-01-04,3SC-RYD2-20250104-00072,3SC-RYD2,sale,delivery,card,1,ESP-DBL,Double Espresso,Espresso,1,24.5,0.1,22.05,0.15,3.31,25.36,SAR
2025-01-04,3SC-RYD2-20250104-00073,3SC-RYD2,sale,in_store,card,1,CAP-LRG,Cappuccino (Large),Espresso,2,25.0,0.05,47.5,0.15,7.12,54.62,SAR
2025-01-04,3SC-RYD2-20250104-00073,3SC-RYD2,sale,in_store,card,2,DRP-REG,Drip Coffee,Brewed,1,18.0,0.1,16.2,0.15,2.43,18.63,SAR
2025-01-04,3SC-RYD2-20250104-00074,3SC-RYD2,sale,take_away,cash,1,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.0,13.0,0.15,1.95,14.95,SAR
2025-01-04,3SC-RYD2-20250104-00074,3SC-RYD2,sale,take_away,cash,2,ESP-DBL,Double Espresso,Espresso,1,24.5,0.0,24.5,0.15,3.67,28.17,SAR
2025-01-04,3SC-RYD2-20250104-00075,3SC-RYD2,sale,delivery,card,1,LAT-LRG,Latte (Large),Espresso,1,26.5,0.1,23.85,0.15,3.58,27.43,SAR
2025-01-04,3SC-RYD2-20250104-00076,3SC-RYD2,sale,take_away,card,1,CAP-LRG,Cappuccino (Large),Espresso,1,25.0,0.1,22.5,0.15,3.38,25.88,SAR
2025-01-04,3SC-RYD2-20250104-00076,3SC-RYD2,sale,take_away,card,2,CLD-BRW,Cold Brew,Brewed,1,24.0,0.1,21.6,0.15,3.24,24.84,SAR
2025-01-04,3SC-RYD2-20250104-00076,3SC-RYD2,sale,take_away,card,3,DRP-REG,Drip Coffee,Brewed,1,18.0,0.05,17.1,0.15,2.56,19.66,SAR
2025-01-04,3SC-RYD2-20250104-00077,3SC-RYD2,sale,delivery,cash,1,ESP-DBL,Double Espresso,Espresso,2,24.5,0.1,44.1,0.15,6.62,50.72,SAR
2025-01-04,3SC-RYD2-20250104-00078,3SC-RYD2,sale,delivery,cash,1,PST-CRS,Butter Croissant,Pastries,2,12.0,0.0,24.0,0.15,3.6,27.6,SAR
2025-01-04,3SC-RYD2-20250104-00079,3SC-RYD2,sale,delivery,cash,1,ESP-SGL,Single Espresso,Espresso,1,21.67,0.05,20.59,0.15,3.09,23.68,SAR
2025-01-04,3SC-RYD2-20250104-00079,3SC-RYD2,sale,delivery,cash,2,PST-MFN,Blueberry Muffin,Pastries,1,13.0,0.05,12.35,0.15,1.85,14.2,SAR
